bur:akzata,50:axala:axata:p:
bur:ekapAtin,3538:ekapa1thin:ekapa1tin:p: th/t
bur:eDi,3613:edi:edhi:p: d/dh.
bur:ezyAmi,3643:es2ya1mi1:es2ya1mi:p: i1/i
bur:Eparam,3667:Eyaram:t:
bur:Odvilya,3731:aodwitya:aodwilya:t:t/l. cf. udvilya/udbilya in bhs.
bur:kaK,3771:kakK:t:
bur:kaNkamAlA,3784:kan3kama1ta1:kan3kama1la1:t: t/l
bur:kaqara,3856:kaqAra:t:
bur:kraRwIkata,3869:kaRwIkata:p: kr/k. By sense and alph. order
bur:kraRW,3870:kaRW:p: kr/k. By sense and alph. order
bur:kaquzRa,3916:kaduzRa:p: q/d
bur:karRAwa,4081:karn2a1ta:karn2a12ta:p: t/t2
bur:kalaDUta,4149:kaladhuta:kaladhu1ta:t: u/u1
bur:kalidrUma,4192:kalidruma:kalidru1ma:p: u/u1. cf mw, etc.
bur:kalipriya,4194:kalipri1ya:kalipriya:t: i1/i
bur:kalla,4217:kall:p: Missing virAma.
bur:kallola,4218:kalli1la:kallola:p: print does not show vowel
bur:kavayAmi,4223:kavaya1mi1:kavaya1mi1:p: i1/i
bur:kaS,4245:{%kaç. kaca1mi%}:{%kaç%}. {%kaça1mi%}:t: change markup, ca1/ça1
bur:kaSamIra,4246:kacami1ra:kaçami1ra:p: c/ç
bur:kaScana,4252:kaccana:kaçcana:p: cc/çc
bur:kaSicat,4253:kaScit:t:
bur:kaMS,4280:kan4c,:kan4c,:p:c/ç
bur:kArakukzIya,4393:karakuxi1ya:ka1rakuxi1ya:p: kara/kAra. alph. order; cf. mw. etc
bur:kAranDAman,4399:kAranDamin:p: DAma/Dami. cf. mw, etc.
bur:kAvyauSanas,4531:ka1vya uçanas:ka1vya uçanas:n: Two words.
bur:kiYcina,4571:kiYcana:t: i/a
bur:kiYcina,4572:kiYcana:t: i/a
bur:kukkuwi,4671:kukkuwI:t: i/I
bur:kuca,4678:kuça:kuca:t:ç/c
bur:kuzmARqa,4926:kusma1n2d2a:kus2ma1n2d2a:p:s/s2
bur:kUq,4961:{%ku1d2. ku1d2a1mi%}:{%ku1d2%}. {%ku1d2a1mi:t: change markup
bur:kf,4985:{%kr2. kr2n2a1mi%}:{%kr2%}. {%kr2n2a1mi%}:t: change markup
bur:kfN,4989:kfq:p: N/q. alph. order; cf. mw, etc.
bur:kxp,5045:kl2ip.:kl2ip.:n:False positive - IAST-SLP conversion problem
bur:kxp,5046:{%kl2ip. kalpaya1mi%}:{%kl2ip%}. {%kalpaya1mi%}:t: markup change; also, IAST-SLP conversion problem
bur:kxptakIlA,5047:kl2iptaki1la1:kl2iptaki1la1:n:False positive - IAST-SLP conversion problem
bur:kxptaDUpa,5048:kl2iptadhu1pa:kl2iptadhu1pa:n:False positive - IAST-SLP conversion problem
bur:kxptika,5049:kl2iptika:kl2iptika:n:False positive - IAST-SLP conversion problem
bur:keSAnta,5086:keca1nta:keça1nta:p:c/ç
bur:keSoccaya,5090:kecoccaya:keçoccaya:p:c/ç
bur:kramaRa,5227:krakaRa:t:
bur:krTa,5232:kraT:p: misplaced virAma
bur:krIl,5260:kril,:kri1l,:t: i/i1
bur:kuYc,5261:kruYc:t:
bur:kuTa,5266:kruT:p: by alph. order, cf. ap
bur:kzepaRoya,5433:kzepaRIya:t:
bur:KaRqinI,5506:khan2d2i1ni1:khan2d2ini1:p: d2i1n/d2in
bur:KuqM,5610:Kuq:p: M/_
bur:Kuqa,5611:Kuq:p: Missing virAma. Verb.
bur:Kurda,5621:Kurd:p: missing virAma. Verb
bur:KewAmi,5629:kheta1mi:khet2a1mi:p:t/t2. By Alph. order.
bur:gaj,5672:{%gaj. gaja1mi%}:{%gaj%}. {%gaja1mi%}:t: change markup
bur:gaRq,5692:{%gan2d2. gan2d2a1mi%}:{%gan2d2%}. {%gan2d2a1mi%}:t: change markuup
bur:gaRqU,5697:gand2u1:gan2d2u1:p: n/n2
bur:ganDinI,5725:gandhini:gandhini1:t: ni/ni1
bur:gArayAni,5850:gArayAmi:p: n/m
bur:gO,6019:gE:p: O/E
bur:gopAnasA,6053:gopAnasI:p: sA/sI
bur:gorda,6090:gord2a:gorda:t: q/d. stray dot in print
bur:Garba,6231:Garb:p: missing virAma; verb
bur:GARwaka,6242:GARwika:p: wa/wi
bur:GAtan,6244:GAtin:p: ta/ti
bur:GArtaka,6247:GArtika:p:ta/ti
bur:GAsa,6249:GAsi:p:sa/si
bur:Nu,6307:{%n3u. n3ave%}:{%n3u%}. {%n3ave%}:t: change markup
bur:caYcu,6354:cancu, can5cu1:can5cu, can5cu1:p: n/n5
bur:caWikA,6359:cawikA:p: W/w
bur:catuHSAlA,6375:catusça1la1:catusça1la1:n:BUR uses 's' for  visarga in IAST
bur:catuvirDa,6398:caturviDa:t:
bur:catuzpARi,6403:ca1tus2pa1n2i:catus2pa1n2i:p:ca1/ca
bur:catvAla,6407:ca1twa1la:catwa1la:p:ca1/ca
bur:canAkasye,6413:canIkasye:p: A/I. cf mw. under 'kas'
bur:carIkararImi,6453:carIkarImi:t: verb form
bur:cikasizAmi,6565:cika1sis2a1mi:cikasis2a1mi:t: ka1/ka
bur:cikxpsAmi,6581:ciklipsa1mi,:cikl2ipsa1mi,:t:
bur:cikewisAmi,6582:cikewizAmi:t:
bur:cikramizAni,6592:cikramizAmi:p: ni/mi
bur:cikzmAyize,6605:cixma1yise:cixma1yis2e:t: se/ze.  z after 'i'; presume Devanagari correct for this verb form
bur:cicitizAmi,6617:cicilis2a1mi:cicitis2a1mi:p: l/t
bur:cur,6730:{%cur. cora1mi%}:{%cur%}. {%cora1mi%}:t: change markup
bur:cekledmi,6768:cekles2mi:cekledmi:t:
bur:cyavAna,6825:cyavana:t:
bur:cyu,6829:{%cyu. cyavaya1mi%}:{%cyu%}. {%cyavaya1mi%}:t: change markup
bur:cyut,6830:cyul.:cyut.:p: l/t
bur:cyUta,6835:cyUti:p: ta/ti
bur:Cfda,6866:Carda:t:
bur:Calli,6870:cha1lli:challi:p: a1/a
bur:CAgala,6876:chagala:cha1gala:p: cha/cha1
bur:CAgavAhana,6877:chagava1hana:cha1gava1hana:p: cha/cha1
bur:CAndogyopanizad,6884:cha1dogyopanis2ad:cha1ndogyopanis2ad:t:cha1d/cha1nd
bur:Co,6920:{%cho. chya1mi%}:{%cho%}. {%chya1mi%}:t: change markup
bur:jagat,6934:jagal:jagat:p: l/t
bur:jawim,6988:jawin:t:
bur:jatu,6996:jalu:jatu:p: l/t
bur:janADipa,7015:jana1dipa:jana1dhipa:t: d/dh
bur:jaMmadagni,7038:jamadagni:p: A stray dot, not anusvAra
bur:jarIgfhye,7071:jarigr2hye:jari1gr2hye:t: i/i1.  verb form
bur:jark,7079:jarJ:t:
bur:jartu,7082:jarlu:jartu:p: l/t
bur:jarhazARa,7087:jarhfzARa:t:
bur:jAgatatrEzWuBa,7126:jAgatatrEzwuBa:t:
bur:jAjyAmi,7153:ja1ja1mi:ja1jya1mi:t: ja1mi/jya1mi
bur:jigrAsaze,7227:jigrasize:p: grAsa/grasi. cf. Whitney roots
bur:jigIzAmi,7235:jiGIzAmi:p: g/G.  By alph. order
bur:jijIzAmi,7247:jijis2a1mi:jiji1s2a1mi:t:jiji/jiji1
bur:jihILire,7280:jihi1l2ire:jihi1l2ire:n: False positive  - IAST-SLP conversion problem
bur:jIpsyAmi,7291:{%ji1sya1mi. ji1psye%}:{%ji1psya1mi%}. {%ji1psye%}:t: ji1s/ji1ps; also change markup
bur:jugAtra,7325:jugAva:p: tr/v ; print incomplete
bur:jfmBita,7380:jr2mbhila:jr2mbhita:p: l/t
bur:jF,7382:{%jr21. jara1mi%}:{%jr21%}. {%jara1mi%}:t: change markup.
bur:jEhnamya,7416:jEhmya:t: n/virAma
bur:jyu,7452:{%jyu. jyave%}:{%jyu%}. {%jyave%}:t: change markup
bur:jyezWa,7454:jyes2t2a:jyes2t2ha:p: t2/t2h
bur:jyotIraTa,7463:jyoti1rat2ha:jyoti1rat2ha:p: t2h/t2
bur:Jarj,7489:jarj:Jarj:t:
bur:Jaz,7501:{%jhas2. jhas2a1mi%}:{%jhas2%}. {%jhas2a1mi%}:t: markup change
bur:tatkAla,7652:talka1la:tatka1la:t: tal/tat
bur:varas,7750:taras:p: v/t
bur:titikze,7926:titaxe:titixe:t: a/i
bur:titila,7929:tilila:titila:t: l/t
bur:tiquka,7943:tiduka:p: q/d. By Alph. order
bur:tu,7999:{%tu. taomi%}:{%tu%}. {%taomi%}:t: change markup
bur:tuzwUzAma,8075:tuzwUzAmi:p: ma/mi
bur:tUrRI,8089:tUrRi:t: I/i
bur:tejovatI,8138:tejjovati1:tejovati1:t: jj/j
bur:tripfzwa,8261:tripr21s2t2a:tripr2s2t2a:t: r21/r2. Note This is same as tripfzWa in mw and other dictionaries (by sense)
bur:darIDfzye,8456:dari1dr2s2ye:dari1dhr2s2ye:t: dr2/dhr2
bur:dArvawa,8626:darwat2a:da1rwat2a:p: a/a1, by alph. order and sense; cf mw.
bur:dAS,8640:{%da1ç. da1çnomi%}:{%da1ç%}. {%da1çnomi%}:t: markup change
bur:dIdI,8762:di1di,:di1di1,:p: i/i1
bur:dIDiti,8763:didhiti:di1dhiti:p: di/di1, by alph. order
bur:dIptopala,8773:diptopala:di1ptopala:p: i/i1
bur:dIpya,8774:dipya:di1pya:p: i/i1, alph. order
bur:duDruzAmi,8804:duDrUzAmi:t: ru/rU
bur:duHK,8885:duskh.:duskh.:n: BUR uses 's' for  visarga in IAST
bur:duHKa,8886:duskha:duskha:n: BUR uses 's' for  visarga in IAST
bur:duHKita,8887:duskhita:duskhita:n: BUR uses 's' for  visarga in IAST
bur:duHKin,8888:duskhin:duskhin:n: BUR uses 's' for  visarga in IAST
bur:duHprApa,8889:duspra1pa:duspra1pa:n: BUR uses 's' for  visarga in IAST
bur:duHsama,8890:dussama:dussama:n: BUR uses 's' for  visarga in IAST
bur:duHsaha,8891:dussaha:dussaha:n: BUR uses 's' for  visarga in IAST
bur:duHsADin,8892:dussa1dhin:dussa1dhin:n: BUR uses 's' for  visarga in IAST
bur:duHsADya,8893:dussa1dhya:dussa1dhya:n: BUR uses 's' for  visarga in IAST
bur:duHsTa,8894:dusstha:dusstha:n: BUR uses 's' for  visarga in IAST
bur:duHsTiti,8895:dusthtiti:dusthtiti:n: BUR uses 's' for  visarga in IAST
bur:duHsparSa,8896:dussparça:dussparça:n: BUR uses 's' for  visarga in IAST
bur:duHsPowa,8897:dussphot2a:dussphot2a:n: BUR uses 's' for  visarga in IAST
bur:dUzita,8917:dus2ita:du1s2ita:p: u/u1. By alph. order
bur:dUzIviza,8918:dus2i1vis2a:dus2i1vis2a:p: u/u1. Alph. order
bur:dfkSruti,8922:dr2kçruti1:dr2kçruti:p: i1/i. cf. MW, etc.
bur:dedeSima,8959:dedeSmi:t: Sima/Smi
bur:dOlma,9044:dOlmi:t:
bur:dOHsADika,9047:daossa1dhika:daossa1dhika:n: BUR uses 's' for  visarga in IAST
bur:druk,9131:drek:t:
bur:dvAHsTa,9149:dwa1sstha:dwa1sstha:n: BUR uses 's' for  visarga in IAST
bur:dviDAtmaka,9167:dwidha1maka:dwidha1tmaka:t: a1maka/a1tmaka
bur:dvya,9232:dvyazwa:t:
bur:jAnuzka,9301:DAnuzka:p: j/D
bur:DAmanI,9307:dha1amni1:dha1mani1:t: am/ma
bur:DyAta,9454:dhya1:dhya1ta:t:
bur:DvraR,9499:{%dhwran2. dhwran2a1mi%}:{%dhwran2%}. {%dhwran2a1mi%}:t: change markup
bur:naq,9525:{%nad2. na1d2aya1mi%}:{%nad2%}. {%na1d2aya1mi%}:t: change markup
bur:naBogati,9562:nabhogali:nabhogati:p: l/t
bur:naBoquha,9563:naBoduha:p: q/d. cf mw, etc.
bur:naBombupa,9568:nabho'mbupa:nabho'mbupa:n: ok. avagraha omitted in key1
bur:naya,9583:nay:t:
bur:naravyAgra,9602:naravyAGra:t:
bur:darasiMha,9604:narasiMha:p: d/n
bur:navO,9631:navE:t: O/E
bur:nahn,9642:nah:t: virAma misinterpreted as final 'n'
bur:nATa,9665:nAT:t:
bur:nikazAmi,9719:nikarzAmi:t:
bur:nikza,9738:nikz:t:
bur:niGuzwa,9764:ni1ghus2t2a:nighus2t2a:p: i1/i. By alph. order
bur:nideSa,9803:niduSa:t: e/u. Next word is nideSa
bur:nipIqayAmi,9843:nipid2aya1mi:nipi1d2aya1mi:p: pid2/pId2
bur:niBanajma,9853:niBanajmi:t: jma/jmi
bur:niyuDa,9876:niyudDa:t: D/dD
bur:nirgUQa,9950:nigu1d2ha:nirgu1d2ha:p: ni/nir By alph. order
bur:nirRaye,9967:{#nirRaye#}¦ {%nirn2iye%}:{#nirRIye#}¦ {%nirn2i1ye%}:t:
bur:nirdawa,9970:nirdal2a:nirdat2a:p: l2/t2
bur:nirBatsAmi,9992:nirBartsAmi:t:Bat/Bart
bur:nirBImi,9993:nirBAmi:t: BImi/BAmi
bur:nirmAlya,10002:nirma1lay:nirma1lya:t: ay/ya
bur:nirvaRayAmi,10022:nirvarRayAmi:t: vaR/varR
bur:nirvarta,10029:{#nirvarta#}¦ {%nirva1la%}:{#nirvAta#}¦ {%nirva1ta%}:t:
bur:nivAya,10035:nirvArya:t: vAy/vAry
bur:nirvftta,10048:nirvr2lta:nirvr2tta:p: l/t
bur:nivadDvama,10063:nivadDvam:t: verb form
bur:niSEta,10097:niçaela:niçaeta:p: l/t
bur:niScukkaRa,10103:niçcukan2a:niçcukkan2a:t:k/kk
bur:nizIdAmi,10118:nis2i1ddha;:nis2i1ddha1mi;:t: nis2i1ddha is previous entry
bur:nizecayAmi,10121:nis2ecya1mi:nis2ecaya1mi:t: cy/cay
bur:nizkfntAmi,10138:nikr2nta1mi:nis2kr2nta1mi:p: ni/nis2
bur:nikraya,10140:nizkraya:p: ni/niz. By alph. order
bur:nizwIva,10150:nizWIva:p: w/W. By alph. order. cf mw, etc.
bur:nizWura,10152:nis2t2ura:nis2t2hura:t: t2/t2h
bur:nizpipami,10165:nizpiparmi:t: pami/parmi
bur:niHSabda,10196:nisçabda:nisçabda:n: BUR uses 's' for  visarga in IAST
bur:niHSalAka,10197:nisçala1ka:nisçala1ka:n: BUR uses 's' for  visarga in IAST
bur:niHSAsmi,10198:nisça1smi:nisça1smi:n: BUR uses 's' for  visarga in IAST
bur:niHSeza,10199:nisçes2a:nisçes2a:n: BUR uses 's' for  visarga in IAST
bur:niHSezayAmi,10200:nisçes2aya1mi:nisçes2aya1mi:n: BUR uses 's' for  visarga in IAST
bur:niHSoDya,10201:nisçodhya:nisçodhya:n: BUR uses 's' for  visarga in IAST
bur:niHSrayaRI,10202:nisçrayan2i1:nisçrayan2i1:n: BUR uses 's' for  visarga in IAST
bur:niHSreyasa,10203:nisçreyasa:nisçreyasa:n: BUR uses 's' for  visarga in IAST
bur:niHSvasimi,10204:nisçwasimi:nisçwasimi:n: BUR uses 's' for  visarga in IAST
bur:niHzamam,10205:niss2amam:niss2amam:n: BUR uses 's' for  visarga in IAST
bur:niHzeDAmi,10206:niSs2edha1mi:niss2edha1mi:t: S/s. BUR uses 's' for  visarga in IAST
bur:niHsanDi,10207:nissandhi:nissandhi:n: BUR uses 's' for  visarga in IAST
bur:niHsapatna,10208:niSsapatna:nissapatna:t: S/s BUR uses 's' for  visarga in IAST
bur:niHsampAta,10209:nissampa1ta:nissampa1ta:n: BUR uses 's' for  visarga in IAST
bur:niHsarAmi,10210:niSsara1mi:nissara1mi:t: S/s. BUR uses 's' for  visarga in IAST
bur:niHsaMSaya,10211:niSsan4çaya:nisan4çaya:t: S/s.  BUR uses 's' for  visarga in IAST
sbur:niHsAra,10212:nissa1ra:nissa1ra:n: BUR uses 's' for  visarga in IAST
bur:niHsfjAmi,10213:nissr2ja1mi:nissr2ja1mi:n: BUR uses 's' for  visarga in IAST
bur:niHsnAva,10214:nissna1va:nissna1va:n: BUR uses 's' for  visarga in IAST
bur:niHsneha,10215:niSsneha:nissneha:t: S/s  BUR uses 's' for  visarga in IAST
bur:niHspfha,10216:niSspr2ha:nisspr2ha:t: S/s.  BUR uses 's' for  visarga in IAST
bur:niHsPurAmi,10217:niSsphura1mi,:nissphura1mi,:t: S/s BUR uses 's' for  visarga in IAST
bur:niHsPulAmi,10218:nissphula1mi,:nissphula1mi,:n: BUR uses 's' for  visarga in IAST
bur:niHsrAvayAmi,10219:niSsra1vaya1mi:nissra1vaya1mi:t: S/s BUR uses 's' for  visarga in IAST
bur:niHsva,10220:niSswa:nisswa:t: S/s BUR uses 's' for  visarga in IAST
bur:niHstvana,10221:niHsvana:t:stv/sv.
bur:nihfvaye,10234:nihvaye:t: hfv/hv
bur:nF,10288:nr2,:nr21,:t:
bur:nepaTaya,10296:nepaTya:t: Tay/Ty
bur:nOka,10305:nEka:t: O/E
bur:nErASaya,10315:nErASya:t: Say/Sy
bur:nyfsAmi,10364:nyfzAmi:t: s/z
bur:pakzamana,10377:pakzman:t:
bur:paYcana,10388:paYcan:t: na/n
bur:paR,10409:paRa:t: R/Ra
bur:paRq,10410:pan2da.:pan2d2.:t: da/d2
bur:pataNGikA,10418:{#pataNGikA#}¦ {%palan5cika1%}:{#pataYcikA#}¦ {%patan5cika1%}:t:
bur:papIti,10458:papi1li:papi1ti:t:
bur:parANamuKa,10483:parANmuKa:t:
bur:parAYj,10487:parAYja:t:
bur:parApatAmi,10498:parapata1mi:para1pata1mi:p: para/para1. By alph. order
bur:parApunAmi,10499:paropuna1mi:para1puna1mi:t: paro/para1
bur:parAmarSa,10501:para1maraça:para1marça:t:
bur:parAmfSAmi,10503:paramr2ça1mi:para1mr2ça1mi:p: para/para1 . alph. order
bur:parASvasimi,10518:para1çwasim2i:para1çwasimi:p: m2/m  (stray dot under 'm')
bur:parikalpayami,10531:parikalpayAmi:p: ami/Ami. 1st sg. verb form.
bur:parikliSyAmi,10543:pariklicya1mi:parikliçya1mi:t: c/ç
bur:pariKyAmi,10552:pariKyAti:t: pariKyAmi is next word
bur:parigarjAmi,10555:pa1rigarja1mi:parigarja1mi:p: pAri/pari. alph. order
bur:pariGURAmi,10561:pariGUrRAmi:t:
bur:paricyuta,10570:paricyula:paricyuta:t: l/t
bur:pariCinadmi,10573:pari1chinadmi:parichinadmi:p: pari1/pari. Alph. order
bur:pariRayAmi,10585:parin2aja1mi:parin2aya1mi:t: j/y
bur:paridaGAmi,10600:paridaDAmi:t: G/D
bur:parinirmita,10616:{%parinirmita vaçavartin%}:{%parinirmita%} {%vaçavartin%}:t: markup change
bur:paripAdi,10626:paripAwi:t: d/w
bur:paripunAma,10631:paripunAmi:p: Ama/Ami
bur:paripezayAmi,10637:paripozayAmi:t: pe/po
bur:pariBraSaye,10653:pariBraSye:t: Saye/Sye
bur:pAramukta,10663:parimukta:p: pAra/pari
bur:pariloBayAmi,10681:parilobhaga1mi:parilobhaya1mi:t:
bur:parivfDa,10701:parivfQa:t: D/Q
bur:pariSIrye,10721:pariçi1ye:pariçi1rye:t:
bur:parisaNKayAmi,10746:parisaNKyAmi:t: saNKay/saNKy
bur:parIta,10773:pari1t2a:pari1ta:t: t2/t. Stray dot under 't'
bur:parU,10787:paru:t: rU/ru
bur:parUta,10788:parut:t:
bur:parUdvAra,10789:parudvAra:t: parU/paru
bur:parovarIRa,10803:parovari1na:parovari1n2a:p: n/n2. cf mw, etc.
bur:parRa,10808:parR:t:
bur:parR,10809:parRa:t:
bur:paryaSanomi,10830:paryaSnomi:t:
bur:paryagalAmi,10835:paryAgalAmi:t:parya/paryA
bur:paryalocayAmi,10841:paryAlocayAmi:t:parya/paryA
